year,province,male,female
2011,Eskişehir,4589,4222
2011,Gaziantep,22046,21227
2011,Giresun,2477,2359
2011,Gümüşhane,972,849
2011,Hakkari,3171,3101
2011,Hatay,15076,14323
2011,Isparta,2744,2524
2011,Iğdır,2392,2148
2011,Kahramanmaraş,11660,10942
2011,Karabük,1325,1229
2011,Karaman,1887,1739
2011,Kars,3558,3394
2011,Kastamonu,2088,2071
2011,Kayseri,11320,10797
2011,Kilis,1424,1324
2011,Kocaeli,13288,12482
2011,Konya,17938,17200
2011,Kütahya,3508,3336
2011,Kırklareli,1722,1537
2011,Kırıkkale,1734,1627
2011,Kırşehir,1407,1418
2011,Malatya,6196,5994
2011,Manisa,9558,8901
2011,Mardin,10228,9661
2011,Mersin,13787,12988
2011,Muğla,5484,5177
2011,Muş,5922,5774
2011,Nevşehir,2247,2033
2011,Niğde,3010,2975
2011,Ordu,4888,4611
2011,Osmaniye,4693,4323
2011,Rize,2207,2082
2011,Sakarya,6536,6236
2011,Samsun,8922,8322
2011,Siirt,4425,4319
2011,Sinop,1247,1189
2011,Sivas,5076,4785
2011,Tekirdağ,5950,5813
2011,Tokat,4355,3992
2011,Trabzon,5434,5020
2011,Tunceli,488,413
2011,Uşak,2296,2067
2011,Van,15014,14512
2011,Yalova,1347,1217
2011,Yozgat,3796,3502
2011,Zonguldak,4045,3736
2011,Çanakkale,2696,2533
2011,Çankırı,1192,1164
2011,Çorum,3769,3549
2011,İstanbul,109886,103555
2011,İzmir,26019,24944
2011,Şanlıurfa,29363,27803
2011,Şırnak,7042,6559
2012,Adana,19507,18674
2012,Adıyaman,6884,6531
2012,Afyonkarahisar,5773,5428
2012,Aksaray,3611,3434
2012,Amasya,2084,1965
2012,Ankara,36544,35052
2012,Antalya,17151,15867
2012,Ardahan,870,820
2012,Artvin,1025,1037
2012,Aydın,6995,6549
2012,Ağrı,8849,8274
2012,Balıkesir,6750,6188
2012,Bartın,1098,987
2012,Batman,7218,6862
2012,Bayburt,660,627
2012,Bilecik,1313,1356
2012,Bingöl,2834,2731
2012,Bitlis,4598,4417
2012,Bolu,1725,1682
2012,Burdur,1528,1361
2012,Bursa,21311,20058
2012,Denizli,6724,6307
2012,Diyarbakır,21540,20577
2012,Düzce,2565,2391
2012,Edirne,2202,2069
2012,Elazığ,4701,4402
2012,Erzincan,1612,1520
2012,Erzurum,8320,7725
2012,Eskişehir,4848,4458
2012,Gaziantep,23309,22331
2012,Giresun,2411,2385
2012,Gümüşhane,917,887
2012,Hakkari,3206,2932
2012,Hatay,15884,14612
2012,Isparta,2751,2628
2012,Iğdır,2307,2208
2012,Kahramanmaraş,11496,10995
2012,Karabük,1202,1223
2012,Karaman,1882,1811
2012,Kars,3635,3354
2012,Kastamonu,2196,2026
2012,Kayseri,11564,10814
2012,Kilis,1401,1443
2012,Kocaeli,13947,13387
2012,Konya,18501,17489
2012,Kütahya,3601,3350
2012,Kırklareli,1802,1688
2012,Kırıkkale,1670,1590
2012,Kırşehir,1452,1415
2012,Malatya,6410,5807
2012,Manisa,9772,9202
2012,Mardin,10774,10172
2012,Mersin,14449,13690
2012,Muğla,5793,5383
2012,Muş,5964,5881
2012,Nevşehir,2176,2132
2012,Niğde,3100,2979
2012,Ordu,4917,4600
2012,Osmaniye,4823,4569
2012,Rize,2094,2121
2012,Sakarya,6873,6547
2012,Samsun,8927,8642
2012,Siirt,4415,4311
2012,Sinop,1251,1223
2012,Sivas,5084,4656
2012,Tekirdağ,6364,6034
2012,Tokat,4103,3956
2012,Trabzon,5182,5198
2012,Tunceli,468,450
2012,Uşak,2353,2218
2012,Van,14976,14241
2012,Yalova,1397,1345
2012,Yozgat,3644,3313
2012,Zonguldak,3897,3812
2012,Çanakkale,2749,2671
