sex,,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female
age_group,,15-19,15-19,15-19,15-19,15-19,20-24,20-24,20-24,20-24,20-24,25-29,25-29,25-29,25-29,25-29,30-34,30-34,30-34,30-34,30-34,35-39,35-39,35-39,35-39,35-39,40-44,40-44,40-44,40-44,40-44,45-49,45-49,45-49,45-49,50-54,50-54,50-54,50-54,55-59,55-59,55-59,55-59,55-59,60-64,60-64,60-64,60-64,65-69,65-69,65-69,65-69,70-74,70-74,70-74,70-74,75-79,75-79,75-79,75-79,80-84,80-84,80-84,80-84,85-89,85-89,85-89,85-89,90+,90+,90+,90+,15-19,15-19,15-19,15-19,15-19,20-24,20-24,20-24,20-24,20-24,25-29,25-29,25-29,25-29,25-29,30-34,30-34,30-34,30-34,30-34,35-39,35-39,35-39,35-39,35-39,40-44,40-44,40-44,40-44,40-44,45-49,45-49,45-49,45-49,45-49,50-54,50-54,50-54,50-54,50-54,55-59,55-59,55-59,55-59,55-59,60-64,60-64,60-64,60-64,60-64,65-69,65-69,65-69,65-69,65-69,70-74,70-74,70-74,70-74,70-74,75-79,75-79,75-79,75-79,75-79,80-84,80-84,80-84,80-84,80-84,85-89,85-89,85-89,85-89,85-89,90+,90+,90+,90+,90+
maritial_status,,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married,unknown,divorced,widowed,married,never_married
year,province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Ardahan,0.0,0,0,16,5409,0.0,3,0,664,6973,0.0,32,4,2350,2726,0.0,62,5,3351,859,0.0,56,12,3365,312,0.0,73,10,2827,172,62,18,2458,114,50,41,2385,89,0.0,23,52,1944,37,14,94,1840,41,15,140,1403,24,5,150,1031,7,6,254,902,7,1,149,316,4,2,92,124,1,0,12,6,0,0.0,1,0,573,4497,0.0,23,6,2200,1976,0.0,43,15,3282,995,0.0,49,29,3161,434,0.0,44,52,2934,405,0.0,40,120,2369,356,0.0,29,146,2271,240,0.0,23,223,2041,233,0.0,17,346,1780,175,0.0,12,522,1603,146,0.0,10,691,1209,146,0.0,8,536,625,37,0.0,7,724,528,24,0.0,1,389,159,14,0.0,2,189,29,9,0.0,0,42,13,5
2008,Artvin,0.0,0,0,11,6871,0.0,5,0,541,6336,0.0,68,2,2502,3979,0.0,112,6,4201,1700,0.0,146,7,5384,737,0.0,123,20,5496,372,138,27,5183,209,98,52,4703,102,0.0,77,69,3732,62,45,145,2904,54,33,189,2704,28,18,254,2073,12,30,524,2107,13,8,308,762,7,1,173,193,0,2,56,20,0,0.0,1,0,317,6294,0.0,41,7,2147,3805,0.0,106,15,4280,1716,0.0,117,58,4762,752,0.0,133,121,5361,517,0.0,147,196,4896,430,0.0,112,302,4411,275,0.0,69,496,4362,223,0.0,52,649,3337,147,0.0,34,910,2842,128,0.0,24,1237,2344,107,0.0,21,1062,1355,43,0.0,21,1630,1314,42,0.0,13,1077,409,24,0.0,1,449,74,13,0.0,2,196,12,8
2008,Aydın,0.0,1,0,223,39507,0.0,111,4,4447,31869,0.0,653,8,20156,19461,0.0,1187,25,28119,7182,0.0,1523,39,30763,3213,0.0,1721,79,31227,1923,1665,161,31994,1224,1442,243,29111,793,0.0,959,391,22832,471,672,537,17402,302,398,793,13049,213,293,1032,10511,127,207,1468,7521,94,113,1116,3075,39,25,408,611,5,7,165,109,0,0.0,32,0,3213,34727,0.0,508,39,17291,19305,0.0,1306,147,29052,7243,0.0,1744,266,30792,2967,0.0,1928,573,30553,1980,0.0,1815,1055,29297,1558,0.0,1757,1866,29566,1170,0.0,1516,2999,25581,962,0.0,1040,3826,19026,638,0.0,689,5008,14192,446,0.0,483,5840,9453,319,0.0,402,7087,6638,132,0.0,318,7982,4083,113,0.0,195,5681,1286,73,0.0,50,1790,158,31,0.0,25,725,28,12
2008,Ağrı,0.0,2,0,249,31326,0.0,21,7,3451,25679,0.0,75,8,13726,10845,0.0,108,23,14281,2610,0.0,88,12,14076,853,0.0,64,29,11004,351,53,67,9269,203,36,95,7271,154,0.0,21,104,4931,100,11,177,4003,86,6,251,2671,63,10,270,1859,16,4,307,1375,19,5,191,437,3,2,125,197,3,0,16,21,1,0.0,3,4,3117,25994,0.0,49,25,11589,10819,0.0,117,82,17000,5200,0.0,103,166,13029,1841,0.0,84,303,11343,1229,0.0,64,393,8416,857,0.0,46,564,7306,752,0.0,39,822,6243,704,0.0,32,1090,4644,576,0.0,26,1265,3093,482,0.0,18,1467,1988,404,0.0,12,1167,1098,113,0.0,13,1205,668,97,0.0,9,660,199,70,0.0,2,342,72,34,0.0,1,83,11,5
2008,Balıkesir,0.0,3,0,330,42668,0.0,130,2,6351,38580,0.0,693,9,24544,18036,0.0,1205,34,33361,6766,0.0,1607,63,37042,3389,0.0,1852,126,37872,2191,1797,270,37758,1695,1659,430,34922,1264,0.0,1232,580,28906,867,869,862,22945,599,619,1326,18110,411,433,1815,13381,260,285,2398,9490,184,139,2026,4046,60,30,787,844,5,9,174,121,1,0.0,28,2,3236,37859,0.0,544,42,19024,20278,0.0,1253,148,32919,6874,0.0,1760,347,36524,3079,0.0,2020,722,37840,2168,0.0,1957,1275,37731,1671,0.0,1941,2348,36643,1325,0.0,1627,3654,31627,971,0.0,1152,5012,24980,710,0.0,831,6300,18861,560,0.0,636,8233,13643,376,0.0,425,9373,8657,142,0.0,319,10108,5115,126,0.0,198,7307,1748,91,0.0,52,2516,258,18,0.0,24,798,50,6
2008,Bartın,0.0,1,0,124,7156,0.0,13,0,1595,4727,0.0,126,3,4830,2826,0.0,223,7,5717,977,0.0,252,16,5705,458,0.0,292,18,5310,310,296,36,5454,240,290,55,5459,157,0.0,227,100,5004,90,147,134,3531,72,80,229,2646,55,57,308,1886,27,52,599,1667,25,35,402,608,7,3,123,91,1,1,39,9,0,0.0,5,0,779,6563,0.0,82,15,3779,3332,0.0,203,25,5676,1627,0.0,254,61,5813,872,0.0,310,108,5882,595,0.0,351,217,5517,406,0.0,309,393,5589,289,0.0,263,552,5315,221,0.0,208,816,4123,137,0.0,107,1001,2916,122,0.0,82,1255,2052,80,0.0,55,1268,1357,24,0.0,56,1746,1086,26,0.0,30,1093,377,18,0.0,6,326,51,4,0.0,3,131,7,0
2008,Batman,0.0,0,1,189,29040,0.0,14,2,2457,19060,0.0,47,9,11067,9282,0.0,66,12,13819,2793,0.0,87,27,12921,1003,0.0,65,40,10353,392,78,40,7567,210,32,56,5721,150,0.0,25,71,4234,73,26,94,2887,56,16,135,2539,69,9,176,1804,18,8,274,1368,17,1,163,528,5,0,64,139,0,0,18,44,4,0.0,0,0,1673,26104,0.0,48,17,8190,12148,0.0,97,71,14695,6861,0.0,110,140,13014,3050,0.0,111,233,10770,1854,0.0,95,368,8041,1357,0.0,66,505,5936,820,0.0,43,602,4634,771,0.0,41,803,3994,688,0.0,31,1026,2763,556,0.0,37,1194,1857,491,0.0,19,1033,1075,141,0.0,7,1097,799,132,0.0,3,794,339,94,0.0,2,322,111,40,0.0,0,169,26,22
2008,Bayburt,0.0,0,0,4,3853,0.0,3,0,438,4147,0.0,18,1,1740,1479,0.0,24,4,2389,363,0.0,33,3,2376,132,0.0,26,6,2166,68,18,15,1834,43,14,15,1582,39,0.0,10,14,1223,18,10,44,974,8,4,71,861,11,5,87,602,3,9,202,688,5,1,118,250,1,0,38,46,0,0,5,9,0,0.0,0,0,327,3135,0.0,14,1,1696,1537,0.0,35,6,2260,494,0.0,54,23,2183,268,0.0,47,42,2331,203,0.0,40,65,1898,164,0.0,22,103,1638,114,0.0,14,169,1410,122,0.0,15,198,1044,80,0.0,13,323,837,70,0.0,5,474,715,65,0.0,8,363,440,20,0.0,3,532,393,27,0.0,4,416,179,18,0.0,1,106,15,5,0.0,0,47,4,4
2008,Bilecik,0.0,0,0,36,7476,0.0,14,0,1079,7628,0.0,90,3,5160,3590,0.0,165,5,6537,1016,0.0,209,13,6882,470,0.0,218,15,6562,299,241,40,6329,178,175,68,5493,124,0.0,120,98,4046,83,71,112,2798,70,58,225,2621,40,42,351,2011,23,29,540,1556,15,14,409,697,6,5,152,121,1,2,38,19,1,0.0,5,0,450,6564,0.0,75,3,3699,3804,0.0,178,22,6640,1226,0.0,196,43,6643,471,0.0,218,122,6633,324,0.0,229,236,6136,252,0.0,190,397,5807,161,0.0,137,595,4567,135,0.0,93,744,3384,96,0.0,66,962,2532,75,0.0,46,1394,2143,45,0.0,35,1467,1508,23,0.0,20,1774,959,13,0.0,13,1246,314,10,0.0,6,334,39,5,0.0,4,128,6,0
2008,Bingöl,0.0,0,1,64,13886,0.0,11,1,1516,15596,0.0,51,2,6125,6662,0.0,59,15,7756,2010,0.0,81,10,7464,776,0.0,82,20,6224,326,66,30,4810,154,33,52,3963,79,0.0,15,76,2942,47,13,90,2246,36,11,160,1852,43,10,212,1456,14,4,292,1121,10,5,200,462,7,0,91,143,1,0,17,16,0,0.0,3,0,900,12919,0.0,34,6,4716,7498,0.0,95,35,7964,4297,0.0,98,98,7241,2195,0.0,93,146,6329,1466,0.0,97,255,5019,859,0.0,72,299,4041,480,0.0,45,424,3559,407,0.0,42,509,2737,293,0.0,25,660,2045,228,0.0,14,803,1401,173,0.0,12,729,831,87,0.0,7,817,617,89,0.0,9,575,251,39,0.0,2,319,56,18,0.0,0,76,23,7
