sex,,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female
age_group,,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,5-9,60-64,65-69,70-74,75-79,80-84,85-89,90+,0-4,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,5-9,60-64,65-69,70-74,75-79,80-84,85-89,90+
year,province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Edirne,10369,13668,14590,23514,17372,14630,14428,15072,15864,14483,11585,12054,7702,6013,5472,4120,1867,620,146,9869,12777,13954,15171,14450,14239,14119,15222,15154,13734,10732,11393,8040,7018,6876,5678,3037,1041,389
2007,Elazığ,22373,26402,25704,25867,23733,20275,17855,16739,14069,12737,9371,25476,7102,6439,5781,3743,1877,533,208,20885,25360,24538,25419,25048,22298,19076,17931,14990,13522,10255,24451,8054,7399,5556,5165,3157,1229,641
2007,Erzincan,7746,9542,8845,16048,10222,8379,7390,6572,5624,4863,3960,9240,3147,2707,2597,2046,1090,214,50,7418,9445,8384,8899,8855,7762,7048,6589,5499,4994,4166,8844,3761,3477,2667,2884,1760,542,262
2007,Erzurum,39684,43385,38670,40643,35603,29076,24043,21033,16772,14702,11773,44928,9995,8348,6879,5078,2272,567,138,37820,41512,36667,39434,35118,27948,22911,21065,16741,16203,13081,42693,11488,9976,6834,6807,3447,1056,551
2007,Eskişehir,21391,26697,28891,35038,31847,28535,27145,26602,25728,22423,17960,24829,13311,10976,8633,5490,2985,674,238,20527,25171,27529,34373,30572,29303,28023,27461,26235,22029,18443,23680,14508,12980,10520,7996,4369,1232,505
2007,Gaziantep,94850,88075,78598,61940,71877,63016,50850,44429,33322,27341,21792,98227,15818,11687,8183,6015,2702,734,407,90293,83152,74458,71779,72019,61502,47728,42501,33261,27163,22508,93711,17368,14526,11073,8539,5109,2155,1315
2007,Giresun,13415,18653,18800,16185,15489,14292,13983,14831,13386,12198,9309,16570,6621,7374,7366,5601,1844,270,260,12833,17885,18281,15949,15123,13986,13808,14260,12563,12340,9546,15786,8425,8834,7813,7834,4101,901,790
2007,Gümüşhane,4980,6462,6382,5900,5455,4775,4341,4528,3513,3023,2306,5968,1764,1828,1794,1532,584,98,28,4631,6395,6160,5440,5140,4592,4167,4104,3302,3282,2522,5633,2321,2209,1801,2022,1316,377,150
2007,Hakkari,16921,16998,14099,18754,13246,8132,5825,5049,3437,2457,1840,17964,1371,1123,795,462,295,93,43,16285,16121,13270,10600,12326,7708,4869,4710,3434,3019,2308,17248,1500,1114,1033,965,697,248,110
2007,Hatay,69739,70255,64540,67450,61096,52474,47895,45921,37510,31682,23143,73920,14633,11289,11540,8163,3354,886,560,66334,67004,61151,60289,61890,55598,48780,46345,37802,31996,23441,70508,16269,12805,12296,9406,4988,2274,998
2007,Isparta,13864,15554,16514,36638,19273,15056,13856,13479,13174,11852,9614,15043,6621,5866,4875,4232,1943,488,204,12953,14652,15974,19173,16274,14601,14414,13943,13402,12399,9809,14224,7642,6680,5797,5538,3049,793,382
2007,Iğdır,9674,11443,9808,9248,8608,6763,5493,4553,3930,3336,2323,11726,1907,1224,1220,814,435,187,40,8953,11099,9214,7969,8100,6176,4800,4467,3711,3571,2658,11197,2015,1490,1366,1253,671,300,124
2007,Kahramanmaraş,53751,53510,49270,42633,47080,39616,33640,29443,23673,21301,15657,57109,12582,9999,7830,5693,2809,742,373,50183,50736,46733,46088,45647,37724,32846,27908,22186,20333,16438,54058,13198,11191,8390,6838,4281,1761,1164
2007,Karabük,6729,8371,8683,11298,8820,7951,7871,7368,6974,6814,5896,7949,4497,3537,3275,2053,1022,229,92,6290,7823,8399,8010,8478,8374,8103,7802,7494,7070,5863,7403,4789,4306,3466,3052,1697,403,212
2007,Karaman,9364,10961,10182,9007,9343,8596,8181,7364,6245,5401,4384,10658,3110,2936,2643,2020,1015,240,121,8862,10472,9805,9905,9129,8685,8203,7462,6340,5620,4705,10438,3719,3451,3015,2507,1390,385,185
2007,Kars,15546,17409,15827,19767,15481,11882,9565,8554,6876,5730,4423,17921,4090,2838,2390,2083,875,433,97,14879,16311,14781,13967,13925,10535,8211,8170,6543,5802,5036,16813,4532,3577,2616,2722,1268,502,228
2007,Kastamonu,11233,13446,14068,15129,14145,12119,10994,11054,11007,10757,9630,12578,7962,7819,6636,5089,2511,568,209,10741,12907,13911,14316,13588,12040,11013,11287,11092,11459,10575,11917,8982,9461,7471,7168,3939,1027,518
2007,Kayseri,53423,54209,52087,54202,55299,47583,41505,37916,33237,28984,21828,55921,15580,12155,9719,7099,2914,674,321,50750,52212,49905,51203,52723,46150,40743,37769,32875,27886,22464,53489,18024,14905,11696,9863,5180,1685,910
2007,Kilis,6422,6372,6091,5177,4671,3861,3694,3462,2685,2250,1979,6482,1537,1261,1114,867,396,117,51,6011,6267,5683,5179,4826,4179,3696,3427,2681,2269,2203,6681,1828,1569,1233,1107,682,280,167
2007,Kocaeli,59220,62910,60985,64890,76686,67830,56769,51136,43434,37689,28152,64106,19421,14071,9946,6872,3351,829,293,55811,59318,57841,64670,72799,63236,53993,49549,42372,37034,27562,60584,19768,15370,11760,9657,5525,1721,766
2007,Konya,87585,94127,88787,90015,84027,72369,66859,62488,54770,46874,38278,95373,27274,21595,17752,12737,5743,1456,557,82798,90493,86021,93686,82991,73857,69011,64419,56212,49358,41366,91128,31796,26018,20852,17020,9266,2777,1347
2007,Kütahya,18949,21577,23258,38001,25700,21594,19691,19614,19616,17571,14206,20883,9828,9355,7370,5346,2801,667,140,17776,20594,22781,26161,23155,21817,20634,20525,19845,17372,14761,19631,11474,10843,8675,6867,3544,958,330
2007,Kırklareli,9020,12043,12577,17881,15380,12981,12935,12484,12768,11834,8870,10727,6100,5186,4585,3445,1716,530,142,8543,11435,11757,11076,13298,12724,12352,12165,12283,10997,8374,10177,6516,5870,5777,4832,2670,906,300
