,2,3,4,5,6,7,8,9,10,11,12,13,14
Silhouette_mean (cosine),0.51,0.34,0.33,0.33,0.33,0.31,0.28,0.27,0.26,0.25,0.24,0.24,0.24
Silhouette_mean (euclidean),0.32,0.19,0.18,0.19,0.18,0.18,0.16,0.15,0.15,0.14,0.14,0.14,0.14
