,0,1,2,3,4,5,6,7,8,9,10,11,12
Silhouette_mean (cosine),0.54,0.36,0.33,0.29,0.3,0.27,0.26,0.23,0.23,0.22,0.21,0.22,0.21
Silhouette_mean (euclidean),0.34,0.21,0.19,0.17,0.18,0.16,0.15,0.14,0.14,0.13,0.13,0.13,0.12
