,0,1,2,3,4,5,6,7,8,9,10,11,12
Silhouette_mean (cosine),0.51,0.34,0.28,0.28,0.28,0.25,0.23,0.24,0.22,0.23,0.22,0.22,0.21
Silhouette_mean (euclidean),0.31,0.19,0.16,0.16,0.16,0.15,0.14,0.14,0.13,0.14,0.14,0.13,0.13
scaler,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total,Share of Total
