,2,3,4,5,6,7,8,9,10,11,12,13,14
Silhouette_mean (cosine),0.5,0.34,0.31,0.28,0.27,0.25,0.23,0.22,0.22,0.22,0.22,0.23,0.24
Silhouette_mean (euclidean),0.31,0.2,0.17,0.16,0.15,0.14,0.12,0.13,0.12,0.12,0.12,0.12,0.13
