Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.18738689706479783,0.0,1.7208174569739447,2.220446049250313e-16,1.0,0.0,0.6234567901234568
3,0.15977239027786833,0.0,2.0166957845792552,0.0,1.0,0.0,0.4027777777777778
4,0.0721804457008558,0.0,2.2855331385509494,2.808666774861361e-16,1.0,0.0,0.2518518518518518
5,0.0808468339834774,0.0005335104218411914,2.224309003876086,0.014531235599890972,0.9252883439643225,0.059044940943655144,0.21472222222222223
6,0.08228348891954773,0.011563093042756711,2.1212211527942135,0.03714690734934973,0.7709984574691441,0.1656549028420931,0.18564814814814815
7,0.0647925368106482,0.0014350485270535525,2.0842552548720388,0.04568589171656897,0.8949037984925634,0.0556209135664561,0.1607098765432099
8,0.06454585391675964,0.0006456818946394343,2.0268391091546007,0.0056397998670367185,0.9832156094831809,0.01570035968993891,0.14296296296296296
9,0.0698508650098551,0.003652221669652316,2.0064018897458777,0.030157763071199804,0.917618863662441,0.04201576020910249,0.12867283950617284
10,0.05233383149808796,0.003673037541538943,2.0876051531283513,0.017868420819441774,0.9030261474011085,0.039866911000121956,0.10351851851851851
11,0.05311585889158621,0.004658345381649407,2.0425749488867924,0.035327989100222314,0.8114168145478119,0.05759645341750536,0.09540123456790123
12,0.05075887043325507,0.007817926507700553,2.0067149520160763,0.06292830193239568,0.6376400975358508,0.09689828113558288,0.09280864197530864
13,0.0433452710011404,0.005236867331933111,1.9231984909550885,0.05853108331427924,0.6431115910162123,0.09086076158105678,0.09530864197530864
14,0.04594816599728637,0.0045715160160644825,1.917621874195616,0.02957643607537136,0.7126891122722259,0.08769209516921694,0.08456790123456791
