Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.5229999145352044,1.1102230246251565e-16,1.2842495239930878,0.0,1.0,0.0,0.6641975308641975
3,0.33181702276135255,0.0009613028364044307,1.6764765272368476,0.0012255632184837383,0.9965139095972049,0.014179810397539789,0.3660185185185185
4,0.327442081310231,0.0,1.5617739850003178,1.831026719408895e-16,1.0,0.0,0.2478395061728395
5,0.273346458630803,0.0032320055908335726,1.732765322900905,0.010437934695828368,0.970980994533094,0.0241636742043149,0.20066666666666666
6,0.2781516729499503,0.003046608114326825,1.641134285840533,0.0057820444357627706,0.9849425288342031,0.019525698789789006,0.17607407407407408
7,0.2519065032378212,0.0028990323180360677,1.7894565831865927,0.010648857978251002,0.9140781737346179,0.05227778707516255,0.13791666666666666
8,0.24032229291029267,0.005538987074276769,1.687761859156173,0.03741011400115464,0.8532179542657867,0.09022239982358526,0.12437037037037038
9,0.22372178290763192,0.00987408030467305,1.7175582154706521,0.04658828439921236,0.7305111944510654,0.09579302178751985,0.11034876543209876
10,0.22673429547986282,0.013589144152935249,1.6667304650925177,0.04840426321058,0.7768250829601824,0.08665818456166789,0.09786419753086419
11,0.21882156100971714,0.01410076937976171,1.6414410944856075,0.04648615582819837,0.7663326108578196,0.0837296747550845,0.09155864197530865
12,0.20220169960170234,0.012542051272968613,1.6296031385132443,0.042471051295063574,0.7447359773777258,0.08663358244239304,0.08236111111111112
13,0.20496900009432803,0.014123852337660581,1.5560969903696114,0.06828161077634216,0.7182104782412002,0.07800822355420248,0.07925
14,0.19407210544480333,0.017228761744846017,1.5271583374757116,0.08119713452633724,0.6684129050871334,0.07968256667098583,0.07535493827160494
