Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.524746782354505,0.0,1.2391617048961066,2.220446049250313e-16,1.0,0.0,0.6944444444444444
3,0.3545558767854214,0.0,1.6277367260419735,6.661338147750939e-16,1.0,0.0,0.3814814814814815
4,0.3258138217636832,5.551115123125783e-17,1.5375832712289565,1.3506446028928518e-16,1.0,0.0,0.2617283950617284
5,0.2788050265655616,1.1102230246251565e-16,1.7817815000859698,2.220446049250313e-16,1.0,0.0,0.20586419753086418
6,0.2529443057542321,0.005469638427945545,1.840979756178003,0.013504350986452161,0.9205691526404226,0.04641282116471539,0.16086111111111112
7,0.25162536892748294,0.005373007702232935,1.7460450783338843,0.005940577498458048,0.9589733299871945,0.0279279497749418,0.13596296296296295
8,0.23881106672698252,0.0002134967804287041,1.6776613675711547,0.0011727061432340957,0.9974229573658195,0.012691798151472783,0.12100617283950617
9,0.22436040896416842,0.006878017151553992,1.6659815128328166,0.016788784500607806,0.9026083611209202,0.07429619197264767,0.10465432098765433
10,0.19662895294223254,0.013706743210074857,1.6604902893251623,0.030502266382915217,0.79731002943112,0.08176380885535832,0.09433641975308643
11,0.2067734536891624,0.014527512706360764,1.6043938144826269,0.04519138786559227,0.7552029351930203,0.0897421321186897,0.09040432098765432
12,0.1996640625215554,0.008493713039953193,1.6203380615576952,0.03595783024128916,0.8074467391878946,0.07206773226339219,0.08274382716049383
13,0.2038889241288673,0.011440751470396032,1.6185067167636433,0.04003717075534555,0.7077815454377304,0.09739729221252183,0.07666049382716049
14,0.20118199763861874,0.009950347280004443,1.5826798486603002,0.034334233901885516,0.8003881252781898,0.08143881284919811,0.06855555555555555
