Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.5117358141882599,0.0,1.1718887665255988,0.0,1.0,0.0,0.7271604938271605
3,0.3382300742620323,0.0,1.6469681420802944,0.0,1.0,0.0,0.3808641975308642
4,0.30785934576971374,0.0,1.5738253947868979,0.0,1.0,0.0,0.2632716049382716
5,0.25276820045492165,0.0,1.8059364291141926,0.0,1.0,0.0,0.1962962962962963
6,0.2565330248802267,0.0,1.679780144518067,0.0,1.0,0.0,0.17191358024691358
7,0.23944305810383043,0.002479095196534589,1.7448325763989936,0.019552835064166427,0.9586103697991364,0.021974293685282108,0.14266975308641974
8,0.23614319046169424,0.0007839445220802289,1.7063652984070314,0.006722709460573775,0.9619403960701117,0.021819473937771176,0.12075617283950617
9,0.2247105927941226,0.00523709559757827,1.657287308977928,0.0305278640894363,0.8790505865500128,0.04861813312659605,0.11003086419753086
10,0.20222705114225684,0.0025826268332700257,1.6839490274194464,0.03252141242092438,0.93331235055409,0.03362302062508911,0.09683641975308642
11,0.1986326315580303,0.0018508957259430585,1.6650130823274136,0.004563990302975852,0.9424525646841683,0.02893400796976215,0.08541666666666667
12,0.18616383630045172,0.0014877952474929772,1.6819115323666993,0.015831135069399302,0.9157792003420733,0.023132526873270907,0.07453703703703704
13,0.18743540387930024,0.0027702417079145166,1.6895170903582155,0.02936740066557975,0.8066383216435641,0.0454688335514423,0.07067901234567901
14,0.18019658819336598,0.002519461554388404,1.6525653061387189,0.017173067641884573,0.9187492414639157,0.02021722512993791,0.06458333333333334
