Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.5369784413743721,2.220446049250313e-16,1.1998491716505888,2.220446049250313e-16,1.0,0.0,0.7104938271604938
3,0.35387071899986416,0.0,1.6289600790699164,0.0,1.0,0.0,0.37808641975308643
4,0.316104405019146,5.551115123125783e-17,1.5695105657267951,2.220446049250313e-16,1.0,0.0,0.25679012345679014
5,0.26933666959627584,1.1102230246251565e-16,1.7639703831849096,3.794299872214038e-16,1.0,0.0,0.1935185185185185
6,0.27735024336404857,0.0008248075856003505,1.6614506492698666,0.004193447849477676,0.9944079577826396,0.013421612017206366,0.16868518518518516
7,0.2353443805010338,0.002466881697823253,1.783661269845192,0.02508649211646782,0.9372362844736065,0.050021987639166925,0.13570370370370372
8,0.22503728978567306,0.0003692178596351242,1.7540536455999927,0.0011354581232610721,0.9970379004692557,0.008258677884587822,0.11606790123456791
9,0.2193585499114605,0.003712444485063771,1.7148529138661897,0.019162475983118103,0.9169053505272802,0.062124908465323335,0.10626851851851853
10,0.19152915330356074,0.011058797189139274,1.6508969146192762,0.028701404521243246,0.7772479962508264,0.09755445432180976,0.09761419753086419
11,0.2054293070912253,0.012280990081293233,1.6130907010158282,0.04769968769489806,0.7691955194756425,0.08596526325351053,0.09053395061728396
12,0.2112092614858777,0.007865486082056635,1.591253205536154,0.0190032256242003,0.8384928630676175,0.0643815886787939,0.08361111111111111
13,0.20730059181110785,0.010376234759435434,1.60855253373866,0.02588763135735049,0.7931546043532203,0.09165651972753877,0.07390123456790124
14,0.1940595866319996,0.008154925607188201,1.6268057569367438,0.03881159409726074,0.911998598704461,0.055331662649189456,0.06459876543209878
