Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.5117358141882599,0.0,1.1718887665255988,0.0,1.0,0.0,0.7271604938271605
3,0.3537522985956087,0.0,1.6335950192996982,0.0,1.0,0.0,0.38549382716049385
4,0.32465959127176164,0.0009971777185399978,1.5513128763570507,0.0022105467720662654,0.9626334807742044,0.037366519225795536,0.26404320987654323
5,0.28657641786736165,0.0,1.7660702992702157,2.220446049250313e-16,1.0,0.0,0.2
6,0.2984952546033288,0.0,1.5851024151402908,0.0,1.0,0.0,0.1743827160493827
7,0.2532585016206315,0.009844511513844618,1.7888159419780703,0.021253997629645117,0.8418924872102495,0.10901556190199126,0.13503086419753085
8,0.24231975570961756,0.0008300553232760951,1.7204251717200572,0.011242508548359873,0.9836405699177438,0.016359430082256154,0.11774691358024691
9,0.22343818439976543,0.005098670087404409,1.6835870283642382,0.014334766556994546,0.8080267029685778,0.06676230077835589,0.10717592592592592
10,0.1995377479239996,0.005142407780827878,1.650826856470874,0.0191070670616645,0.858329102152359,0.05288447008640042,0.09390432098765432
11,0.2053081532979968,0.006097237558851967,1.628366446356214,0.020475865950012398,0.762371938915171,0.06667191985959131,0.0892746913580247
12,0.20858443298328316,0.009609272929185474,1.5918256514440918,0.0449095861594186,0.7642076319320164,0.0759631606990645,0.08510802469135803
13,0.2203784126221909,0.015730763640561873,1.5330689226319416,0.035278865147114986,0.7903725243006456,0.027516155370205565,0.07808641975308642
14,0.2019104192733181,0.0013464906189454844,1.585156390635677,0.027684365834742822,0.6675680104181346,0.1263125222162532,0.07044753086419753
