Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.3304289908778788,5.551115123125783e-17,1.2502353590159552,0.0,1.0,0.0,0.6790123456790124
3,0.16632474677512962,8.326672684688674e-17,1.6643287643706268,4.440892098500626e-16,1.0,0.0,0.4123456790123457
4,0.18192394807471074,0.001410628002300834,1.549390385732396,0.004378947404736804,0.9846609010021697,0.02027146263646223,0.2561388888888889
5,0.14676196805828595,2.7755575615628914e-17,1.7769796381321479,4.440892098500626e-16,1.0,0.0,0.19506172839506172
6,0.1413554377572378,0.0019931782465654082,1.88022021083793,0.0037226914707954857,0.9888180926633908,0.02263472871424208,0.15957098765432098
7,0.15405411577320696,5.551115123125783e-17,1.6057833214793304,5.347542221830668e-16,1.0,0.0,0.14598765432098765
8,0.14017345094303704,0.0037329019066382877,1.617626568180907,0.01514267377812645,0.9388777363447621,0.04305514552523279,0.12284567901234568
9,0.14308217147557944,0.0034286968215952594,1.6487689141524207,0.01356938643945301,0.9042680495417831,0.06613502376746341,0.10994753086419752
10,0.11958118186459414,0.006410513668192013,1.6318993843602423,0.02692457564861895,0.7716238048084895,0.07515673713965501,0.10003086419753088
11,0.11487505860312433,0.006259207842709992,1.616298882242287,0.035456119585681775,0.782698610679326,0.0790651433608582,0.08915123456790124
12,0.11290426039548562,0.0053633106812055395,1.5956500288287017,0.026392393507932623,0.7475113413546102,0.0939203696005056,0.08230246913580246
13,0.11331581461887313,0.008546306249890792,1.5731290546967043,0.04507666245811229,0.7220117398478093,0.0958388837534805,0.07759259259259259
14,0.10692847362355003,0.007526880892785266,1.6275804725431755,0.0385960088506609,0.7297831104198327,0.08718815328863129,0.07109567901234567
