Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.24519658380198733,5.551115123125783e-17,1.710918656855175,4.440892098500626e-16,1.0,0.0,0.55
3,0.16837771435934482,0.0007287208474387793,1.792812548670508,0.002483243000423178,0.9854354069564039,0.02040329778067809,0.35552160493827156
4,0.16126091195714298,0.000789479002992033,1.6827557812465408,0.0027931122839866215,0.972949727738588,0.02446764340579029,0.24845679012345678
5,0.13660929433882954,0.0033034250572528683,1.841264088455332,0.023776694749071018,0.9471678037342176,0.03505538954687412,0.19671913580246914
6,0.13607304794954367,0.0013272119819824348,1.7117862544862095,0.00390267275565934,0.979445827605076,0.022675379823275603,0.17911111111111114
7,0.12118582445673454,0.0022937015013920225,1.8381885134031983,0.07112502366411343,0.8729926342474629,0.08489359341645648,0.14258641975308642
8,0.12417878474161888,0.0032176550393729912,1.755760399632662,0.029412526404961933,0.8669967018581656,0.08043433086555309,0.12630864197530864
9,0.11395918386362207,0.005169221253111749,1.7959809645071985,0.02578939251798328,0.8304846607697997,0.0795239853421508,0.11422530864197532
10,0.1124530861011231,0.004873866585556601,1.7526950176331948,0.03385202344959054,0.7544385202052977,0.09533777532654102,0.10444135802469136
11,0.10344970775376568,0.00689858568519553,1.7608430405993305,0.0607634672616598,0.722399969443502,0.08765689920476757,0.09307716049382715
12,0.10005456483604458,0.006299914326904227,1.6474059060747361,0.06833993700855945,0.6555642333062438,0.08712428094381407,0.09325925925925925
13,0.09983260705405181,0.007436556307408,1.6396442847720207,0.06522497541705463,0.6437736232365806,0.07973570453455264,0.08483024691358025
14,0.08372002371350773,0.010220547553452058,1.6599199793078268,0.0893299271279354,0.6020505999129844,0.0780829586482908,0.08165432098765432
