Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus
2,0.49825024820863445,0.0652772557738878,1.3931423134410112,0.15344860357047763,0.834625322997416,0.3175667492658856,0.6313333333333333
3,0.3436814469755194,0.02586235721619146,1.6586693081315502,0.05973030576099009,0.6317848575801222,0.28127598169871165,0.3817067901234568
4,0.30732071861051574,0.0004131171777258147,1.6416341125318283,0.0012418940115793355,0.8817323150230456,0.23819064116278024,0.2645185185185185
5,0.2836596397368945,0.015892931628844854,1.717568600355949,0.0742560883417822,0.8155325473067396,0.21858261794789413,0.20219135802469132
6,0.27153621543249284,0.02582749843431039,1.7023982189225233,0.09413859233044906,0.7589214339625124,0.19675080657061583,0.18182098765432095
7,0.24971434312915086,0.01640159927950785,1.6928598638127266,0.06864177262321597,0.7821990635186497,0.18002024162498184,0.16698456790123456
8,0.2323833524423627,0.005969478212070215,1.6869744761600618,0.05925904643511145,0.8068917754017336,0.20959093831628525,0.14776543209876544
9,0.2220007605436535,0.008541671346059937,1.6874942680847778,0.08554606745767185,0.7179859859417242,0.18047333983443647,0.12855246913580246
10,0.21432462665129126,0.009733672994387649,1.6852067019088497,0.060282069864788526,0.7911202646159371,0.1408810123362152,0.11076543209876544
11,0.2188349151219321,0.006623744072569801,1.617021699076738,0.030018843764007402,0.8760751482934668,0.11104216247806074,0.10268827160493826
12,0.2214425716837058,0.0021931142848545257,1.5653152369147885,0.02158240306054456,0.9657706977616769,0.05152141166129683,0.09414506172839505
13,0.22789562099990912,0.007160650846407668,1.4788769726441593,0.02387238651941289,0.9243752656832863,0.06231452429636276,0.09194753086419752
14,0.235464832111943,0.007223670217408866,1.3913955494962529,0.02713905374715707,0.9324211295631523,0.06207256853824643,0.09022222222222222
