uni_name,type,city,region,year,foundation_year
ABDULLAH GÜL ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,2024,2010
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2007
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,state,Adana,Mediterranean,2024,2011
ADIYAMAN ÜNİVERSİTESİ,state,Adıyaman,Southeastern Anatolia,2024,2006
AFYON KOCATEPE ÜNİVERSİTESİ,state,Afyonkarahisar,Aegean,2024,1992
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,state,Afyonkarahisar,Aegean,2024,2018
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,state,Ağrı,East Anatolia,2024,2007
AKDENİZ ÜNİVERSİTESİ,state,Antalya,Mediterranean,2024,1982
AKSARAY ÜNİVERSİTESİ,state,Aksaray,Central Anatolia,2024,2006
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,state,Antalya,Mediterranean,2024,2015
ALANYA ÜNİVERSİTESİ,foundation,Antalya,Mediterranean,2024,2011
ALTINBAŞ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2008
AMASYA ÜNİVERSİTESİ,state,Amasya,Black Sea,2024,2006
ANADOLU ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,2024,1973
ANKA TEKNOLOJİ ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2013
ANKARA BİLİM ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2020
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,2018
ANKARA MEDİPOL ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2018
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,2017
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,2013
ANKARA ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,1946
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,2010
ANTALYA BELEK ÜNİVERSİTESİ,foundation,Antalya,Mediterranean,2024,2015
ANTALYA BİLİM ÜNİVERSİTESİ,foundation,Antalya,Mediterranean,2024,2010
ARDAHAN ÜNİVERSİTESİ,state,Ardahan,East Anatolia,2024,2008
ARTVİN ÇORUH ÜNİVERSİTESİ,state,Artvin,Black Sea,2024,2007
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,,İstanbul,Marmara,2024,2014
ATATÜRK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,2024,1957
ATILIM ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,1997
AVRASYA ÜNİVERSİTESİ,foundation,Trabzon,Black Sea,2024,2010
AYDIN ADNAN MENDERES ÜNİVERSİTESİ,state,Aydın,Aegean,2024,1992
BAHÇEŞEHİR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1998
BALIKESİR ÜNİVERSİTESİ,state,Balıkesir,Marmara,2024,1992
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,state,Balıkesir,Marmara,2024,2015
BARTIN ÜNİVERSİTESİ,state,Bartın,Black Sea,2024,2008
BAŞKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,1994
BATMAN ÜNİVERSİTESİ,state,Batman,Southeastern Anatolia,2024,2007
BAYBURT ÜNİVERSİTESİ,state,Bayburt,Black Sea,2024,2008
BEYKOZ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2016
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2010
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,state,Bilecik,Marmara,2024,2007
BİNGÖL ÜNİVERSİTESİ,state,Bingöl,East Anatolia,2024,2007
BİRUNİ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2014
BİTLİS EREN ÜNİVERSİTESİ,state,Bitlis,East Anatolia,2024,2007
BOĞAZİÇİ ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,1971
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,state,Bolu,Black Sea,2024,1992
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,state,Burdur,Mediterranean,2024,2006
BURSA TEKNİK ÜNİVERSİTESİ,state,Bursa,Marmara,2024,2010
BURSA ULUDAĞ ÜNİVERSİTESİ,state,Bursa,Marmara,2024,1975
ÇAĞ ÜNİVERSİTESİ,foundation,Mersin,Mediterranean,2024,1997
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,state,Çanakkale,Marmara,2024,1992
ÇANKAYA ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,1997
ÇANKIRI KARATEKİN ÜNİVERSİTESİ,state,Çankırı,Central Anatolia,2024,2007
ÇUKUROVA ÜNİVERSİTESİ,state,Adana,Mediterranean,2024,1973
DEMİROĞLU BİLİM ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2006
DİCLE ÜNİVERSİTESİ,state,Diyarbakır,Southeastern Anatolia,2024,1973
DOĞUŞ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1997
DOKUZ EYLÜL ÜNİVERSİTESİ,state,İzmir,Aegean,2024,1982
DÜZCE ÜNİVERSİTESİ,state,Düzce,Black Sea,2024,2006
EGE ÜNİVERSİTESİ,state,İzmir,Aegean,2024,1955
ERCİYES ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,2024,1982
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,state,Erzincan,East Anatolia,2024,2006
ERZURUM TEKNİK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,2024,2010
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,2024,1993
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,2024,2018
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2010
FENERBAHÇE ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2016
FIRAT ÜNİVERSİTESİ,state,Elazığ,East Anatolia,2024,1975
GALATASARAY ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,1994
GAZİ ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,1982
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,state,Gaziantep,Southeastern Anatolia,2024,2018
GAZİANTEP ÜNİVERSİTESİ,state,Gaziantep,Southeastern Anatolia,2024,1987
GEBZE TEKNİK ÜNİVERSİTESİ,state,Kocaeli,Marmara,2024,1992
GİRESUN ÜNİVERSİTESİ,state,Giresun,Black Sea,2024,2006
GÜMÜŞHANE ÜNİVERSİTESİ,state,Gümüşhane,Black Sea,2024,2008
HACETTEPE ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,1967
HAKKARİ ÜNİVERSİTESİ,state,Hakkari,East Anatolia,2024,2008
HALİÇ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1998
HARRAN ÜNİVERSİTESİ,state,Şanlıurfa,Southeastern Anatolia,2024,1992
HASAN KALYONCU ÜNİVERSİTESİ,foundation,Gaziantep,Southeastern Anatolia,2024,2008
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,state,Hatay,Mediterranean,2024,1992
HİTİT ÜNİVERSİTESİ,state,Çorum,Black Sea,2024,2006
IĞDIR ÜNİVERSİTESİ,state,Iğdır,East Anatolia,2024,2008
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,state,Isparta,Mediterranean,2024,2018
IŞIK ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1996
İBN HALDUN ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2015
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,1985
İNÖNÜ ÜNİVERSİTESİ,state,Malatya,East Anatolia,2024,1975
İSKENDERUN TEKNİK ÜNİVERSİTESİ,state,Hatay,Mediterranean,2024,2015
İSTANBUL AREL ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2007
İSTANBUL ATLAS ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2018
İSTANBUL AYDIN ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2007
İSTANBUL BEYKENT ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1997
İSTANBUL BİLGİ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1996
İSTANBUL ESENYURT ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2013
İSTANBUL GALATA ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2019
İSTANBUL GEDİK ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2011
İSTANBUL GELİŞİM ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2011
İSTANBUL KENT ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2016
İSTANBUL KÜLTÜR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1997
İSTANBUL MEDENİYET ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,2010
İSTANBUL MEDİPOL ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2009
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2009
İSTANBUL OKAN ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1999
İSTANBUL RUMELİ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2015
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2010
İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,,İstanbul,Marmara,2024,2010
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2018
İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,,İstanbul,Marmara,2024,2012
İSTANBUL TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,1944
İSTANBUL TİCARET ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2001
İSTANBUL TOPKAPI ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2016
İSTANBUL ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,1933
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,state,İstanbul,Marmara,2024,2018
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2009
İSTANBUL 29 MAYIS ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2010
İSTİNYE ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2015
İZMİR BAKIRÇAY ÜNİVERSİTESİ,state,İzmir,Aegean,2024,2016
İZMİR DEMOKRASİ ÜNİVERSİTESİ,state,İzmir,Aegean,2024,2016
İZMİR EKONOMİ ÜNİVERSİTESİ,foundation,İzmir,Aegean,2024,2001
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,state,İzmir,Aegean,2024,2010
İZMİR KAVRAM MESLEK YÜKSEKOKULU,,İzmir,Aegean,2024,2008
İZMİR TINAZTEPE ÜNİVERSİTESİ,foundation,İzmir,Aegean,2024,2018
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,state,İzmir,Aegean,2024,1992
KADİR HAS ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1997
KAFKAS ÜNİVERSİTESİ,state,Kars,East Anatolia,2024,1992
KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,state,Kahramanmaraş,Mediterranean,2024,2018
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,state,Kahramanmaraş,Mediterranean,2024,1992
KAPADOKYA ÜNİVERSİTESİ,foundation,Nevşehir,Central Anatolia,2024,2005
KARABÜK ÜNİVERSİTESİ,state,Karabük,Black Sea,2024,2007
KARADENİZ TEKNİK ÜNİVERSİTESİ,state,Trabzon,Black Sea,2024,1955
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,state,Karaman,Central Anatolia,2024,2007
KASTAMONU ÜNİVERSİTESİ,state,Kastamonu,Black Sea,2024,2006
KAYSERİ ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,2024,2018
KIRIKKALE ÜNİVERSİTESİ,state,Kırıkkale,Central Anatolia,2024,1992
KIRKLARELİ ÜNİVERSİTESİ,state,Kırklareli,Marmara,2024,2007
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,state,Kırşehir,Central Anatolia,2024,2006
KİLİS 7 ARALIK ÜNİVERSİTESİ,state,Kilis,Southeastern Anatolia,2024,2007
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,foundation,Kocaeli,Marmara,2024,2020
KOCAELİ ÜNİVERSİTESİ,state,Kocaeli,Marmara,2024,1992
KOÇ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1992
KONYA GIDA VE TARIM ÜNİVERSİTESİ,foundation,Konya,Central Anatolia,2024,2013
KONYA TEKNİK ÜNİVERSİTESİ,state,Konya,Central Anatolia,2024,2018
KTO KARATAY ÜNİVERSİTESİ,foundation,Konya,Central Anatolia,2024,2009
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,state,Kütahya,Aegean,2024,1992
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,state,Kütahya,Aegean,2024,2018
LOKMAN HEKİM ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2017
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,state,Malatya,East Anatolia,2024,2018
MALTEPE ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1997
MANİSA CELÂL BAYAR ÜNİVERSİTESİ,state,Manisa,Aegean,2024,1992
MARDİN ARTUKLU ÜNİVERSİTESİ,state,Mardin,Southeastern Anatolia,2024,2007
MARMARA ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,1982
MEF ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2012
MERSİN ÜNİVERSİTESİ,state,Mersin,Mediterranean,2024,1992
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,1982
MUDANYA ÜNİVERSİTESİ,foundation,Bursa,Marmara,2024,2022
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,state,Muğla,Aegean,2024,1992
MUNZUR ÜNİVERSİTESİ,state,Tunceli,East Anatolia,2024,2008
MUŞ ALPARSLAN ÜNİVERSİTESİ,state,Muş,East Anatolia,2024,2007
NECMETTİN ERBAKAN ÜNİVERSİTESİ,state,Konya,Central Anatolia,2024,2012
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,state,Nevşehir,Central Anatolia,2024,2007
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,state,Niğde,Central Anatolia,2024,1992
NUH NACİ YAZGAN ÜNİVERSİTESİ,foundation,Kayseri,Central Anatolia,2024,2009
ONDOKUZ MAYIS ÜNİVERSİTESİ,state,Samsun,Black Sea,2024,1975
ORDU ÜNİVERSİTESİ,state,Ordu,Black Sea,2024,2006
ORTA DOĞU TEKNİK ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2024,1956
OSMANİYE KORKUT ATA ÜNİVERSİTESİ,state,Osmaniye,Mediterranean,2024,2007
OSTİM TEKNİK ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2017
ÖZYEĞİN ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2007
PAMUKKALE ÜNİVERSİTESİ,state,Denizli,Aegean,2024,1992
PİRİ REİS ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2008
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,state,Rize,Black Sea,2024,2006
SABANCI ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1996
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,2015
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,state,Sakarya,Marmara,2024,2018
SAKARYA ÜNİVERSİTESİ,state,Sakarya,Marmara,2024,1992
SAMSUN ÜNİVERSİTESİ,state,Samsun,Black Sea,2024,2018
SANKO ÜNİVERSİTESİ,foundation,Gaziantep,Southeastern Anatolia,2024,2013
SELÇUK ÜNİVERSİTESİ,state,Konya,Central Anatolia,2024,1975
SİİRT ÜNİVERSİTESİ,state,Siirt,Southeastern Anatolia,2024,2007
SİNOP ÜNİVERSİTESİ,state,Sinop,Black Sea,2024,2007
SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,state,Sivas,Central Anatolia,2024,2018
SİVAS CUMHURİYET ÜNİVERSİTESİ,state,Sivas,Central Anatolia,2024,1974
SÜLEYMAN DEMİREL ÜNİVERSİTESİ,state,Isparta,Mediterranean,2024,1992
ŞIRNAK ÜNİVERSİTESİ,state,Şırnak,Southeastern Anatolia,2024,2008
TARSUS ÜNİVERSİTESİ,state,Mersin,Mediterranean,2024,2018
TED ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2009
TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,state,Tekirdağ,Marmara,2024,2006
TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2003
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,state,Tokat,Black Sea,2024,1992
TOROS ÜNİVERSİTESİ,foundation,Mersin,Mediterranean,2024,2009
TRABZON ÜNİVERSİTESİ,state,Trabzon,Black Sea,2024,2018
TRAKYA ÜNİVERSİTESİ,state,Edirne,Marmara,2024,1982
TÜRK HAVA KURUMU ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2011
TÜRK-ALMAN ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,2010
"TÜRKİYE ULUSLARARASI İSLAM, BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ",state,İstanbul,Marmara,2024,2015
TÜRK-JAPON BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,2017
UFUK ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,1999
UŞAK ÜNİVERSİTESİ,state,Uşak,Aegean,2024,2006
ÜSKÜDAR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,2011
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,state,Van,East Anatolia,2024,1982
YALOVA ÜNİVERSİTESİ,state,Yalova,Marmara,2024,2008
YAŞAR ÜNİVERSİTESİ,foundation,İzmir,Aegean,2024,2001
YEDİTEPE ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2024,1996
YILDIZ TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,2024,1982
YOZGAT BOZOK ÜNİVERSİTESİ,state,Yozgat,Central Anatolia,2024,2006
YÜKSEK İHTİSAS ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2024,2013
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,state,Zonguldak,Black Sea,2024,1992
ABDULLAH GÜL ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,2023,2010
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,2007
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,state,Adana,Mediterranean,2023,2011
ADIYAMAN ÜNİVERSİTESİ,state,Adıyaman,Southeastern Anatolia,2023,2006
AFYON KOCATEPE ÜNİVERSİTESİ,state,Afyonkarahisar,Aegean,2023,1992
AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,state,Afyonkarahisar,Aegean,2023,2018
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,state,Ağrı,East Anatolia,2023,2007
AKDENİZ ÜNİVERSİTESİ,state,Antalya,Mediterranean,2023,1982
AKSARAY ÜNİVERSİTESİ,state,Aksaray,Central Anatolia,2023,2006
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,state,Antalya,Mediterranean,2023,2015
ALANYA ÜNİVERSİTESİ,foundation,Antalya,Mediterranean,2023,2011
ALTINBAŞ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,2008
AMASYA ÜNİVERSİTESİ,state,Amasya,Black Sea,2023,2006
ANADOLU ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,2023,1973
ANKA TEKNOLOJİ ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2023,2013
ANKARA BİLİM ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2023,2020
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2023,2018
ANKARA MEDİPOL ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2023,2018
ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2023,2017
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2023,2013
ANKARA ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2023,1946
ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2023,2010
ANTALYA BELEK ÜNİVERSİTESİ,foundation,Antalya,Mediterranean,2023,2015
ANTALYA BİLİM ÜNİVERSİTESİ,foundation,Antalya,Mediterranean,2023,2010
ARDAHAN ÜNİVERSİTESİ,state,Ardahan,East Anatolia,2023,2008
ARTVİN ÇORUH ÜNİVERSİTESİ,state,Artvin,Black Sea,2023,2007
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,,İstanbul,Marmara,2023,2014
ATATÜRK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,2023,1957
ATILIM ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2023,1997
AVRASYA ÜNİVERSİTESİ,foundation,Trabzon,Black Sea,2023,2010
AYDIN ADNAN MENDERES ÜNİVERSİTESİ,state,Aydın,Aegean,2023,1992
BAHÇEŞEHİR ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,1998
BALIKESİR ÜNİVERSİTESİ,state,Balıkesir,Marmara,2023,1992
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,state,Balıkesir,Marmara,2023,2015
BARTIN ÜNİVERSİTESİ,state,Bartın,Black Sea,2023,2008
BAŞKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2023,1994
BATMAN ÜNİVERSİTESİ,state,Batman,Southeastern Anatolia,2023,2007
BAYBURT ÜNİVERSİTESİ,state,Bayburt,Black Sea,2023,2008
BEYKOZ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,2016
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,2010
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,state,Bilecik,Marmara,2023,2007
BİNGÖL ÜNİVERSİTESİ,state,Bingöl,East Anatolia,2023,2007
BİRUNİ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,2014
BİTLİS EREN ÜNİVERSİTESİ,state,Bitlis,East Anatolia,2023,2007
BOĞAZİÇİ ÜNİVERSİTESİ,state,İstanbul,Marmara,2023,1971
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,state,Bolu,Black Sea,2023,1992
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,state,Burdur,Mediterranean,2023,2006
BURSA TEKNİK ÜNİVERSİTESİ,state,Bursa,Marmara,2023,2010
BURSA ULUDAĞ ÜNİVERSİTESİ,state,Bursa,Marmara,2023,1975
ÇAĞ ÜNİVERSİTESİ,foundation,Mersin,Mediterranean,2023,1997
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,state,Çanakkale,Marmara,2023,1992
ÇANKAYA ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2023,1997
ÇANKIRI KARATEKİN ÜNİVERSİTESİ,state,Çankırı,Central Anatolia,2023,2007
ÇUKUROVA ÜNİVERSİTESİ,state,Adana,Mediterranean,2023,1973
DEMİROĞLU BİLİM ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,2006
DİCLE ÜNİVERSİTESİ,state,Diyarbakır,Southeastern Anatolia,2023,1973
DOĞUŞ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,1997
DOKUZ EYLÜL ÜNİVERSİTESİ,state,İzmir,Aegean,2023,1982
DÜZCE ÜNİVERSİTESİ,state,Düzce,Black Sea,2023,2006
EGE ÜNİVERSİTESİ,state,İzmir,Aegean,2023,1955
ERCİYES ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,2023,1982
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,state,Erzincan,East Anatolia,2023,2006
ERZURUM TEKNİK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,2023,2010
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,2023,1993
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,2023,2018
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,2010
FENERBAHÇE ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,2016
FIRAT ÜNİVERSİTESİ,state,Elazığ,East Anatolia,2023,1975
GALATASARAY ÜNİVERSİTESİ,state,İstanbul,Marmara,2023,1994
GAZİ ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2023,1982
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,state,Gaziantep,Southeastern Anatolia,2023,2018
GAZİANTEP ÜNİVERSİTESİ,state,Gaziantep,Southeastern Anatolia,2023,1987
GEBZE TEKNİK ÜNİVERSİTESİ,state,Kocaeli,Marmara,2023,1992
GİRESUN ÜNİVERSİTESİ,state,Giresun,Black Sea,2023,2006
GÜMÜŞHANE ÜNİVERSİTESİ,state,Gümüşhane,Black Sea,2023,2008
HACETTEPE ÜNİVERSİTESİ,state,Ankara,Central Anatolia,2023,1967
HAKKARİ ÜNİVERSİTESİ,state,Hakkari,East Anatolia,2023,2008
HALİÇ ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,1998
HARRAN ÜNİVERSİTESİ,state,Şanlıurfa,Southeastern Anatolia,2023,1992
HASAN KALYONCU ÜNİVERSİTESİ,foundation,Gaziantep,Southeastern Anatolia,2023,2008
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,state,Hatay,Mediterranean,2023,1992
HİTİT ÜNİVERSİTESİ,state,Çorum,Black Sea,2023,2006
IĞDIR ÜNİVERSİTESİ,state,Iğdır,East Anatolia,2023,2008
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,state,Isparta,Mediterranean,2023,2018
IŞIK ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,1996
İBN HALDUN ÜNİVERSİTESİ,foundation,İstanbul,Marmara,2023,2015
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,2023,1985
İNÖNÜ ÜNİVERSİTESİ,state,Malatya,East Anatolia,2023,1975
