uni_name,type,city,region,year,foundation_year
YILDIZ TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,1991,1982
YILDIZ ÜNİVERSİTESİ,state,İstanbul,Marmara,1991,1982
YÜZÜNCÜ YIL ÜNİVERSİTESİ,state,Van,East Anatolia,1991,1982
AKDENİZ ÜNİVERSİTESİ,state,Antalya,Mediterranean,1990,1982
ANADOLU ÜNİVERSİTESİ,state,Eskişehir,Central Anatolia,1990,1973
ANKARA ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1990,1946
ATATÜRK ÜNİVERSİTESİ,state,Erzurum,East Anatolia,1990,1957
BİLKENT ÜNİVERSİTESİ,foundation,Ankara,Central Anatolia,1990,1985
BOĞAZİÇİ ÜNİVERSİTESİ,state,İstanbul,Marmara,1990,1971
CUMHURİYET ÜNİVERSİTESİ,state,Sivas,Central Anatolia,1990,1974
ÇUKUROVA ÜNİVERSİTESİ,state,Adana,Mediterranean,1990,1973
DİCLE ÜNİVERSİTESİ,state,Diyarbakır,Southeastern Anatolia,1990,1973
DOKUZ EYLÜL ÜNİVERSİTESİ,state,İzmir,Aegean,1990,1982
EGE ÜNİVERSİTESİ,state,İzmir,Aegean,1990,1955
ERCİYES ÜNİVERSİTESİ,state,Kayseri,Central Anatolia,1990,1982
FIRAT ÜNİVERSİTESİ,state,Elazığ,East Anatolia,1990,1975
GAZİ ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1990,1982
GAZİANTEP ÜNİVERSİTESİ,state,Gaziantep,Southeastern Anatolia,1990,1987
HACETTEPE ÜNİVERSİTESİ,state,Ankara,Central Anatolia,1990,1967
İNÖNÜ ÜNİVERSİTESİ,state,Malatya,East Anatolia,1990,1975
İSTANBUL TEKNİK ÜNİVERSİTESİ,state,İstanbul,Marmara,1990,1944
İSTANBUL ÜNİVERSİTESİ,state,İstanbul,Marmara,1990,1933
KARADENİZ TEKNİK ÜNİVERSİTESİ,state,Trabzon,Black Sea,1990,1955
MARMARA ÜNİVERSİTESİ,state,İstanbul,Marmara,1990,1982
ONDOKUZ MAYIS ÜNİVERSİTESİ,state,Samsun,Black Sea,1990,1975
