Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus,BIC_mean,BIC_std,AIC_mean,AIC_std
2,0.31910194270486786,0.0,1.3533255879546906,0.0,1.0,0.0,0.6267066267066267,-1377831.6449270253,0.0,-1385738.4030405688,0.0
3,0.2042611484055562,0.0,1.6203978359741626,0.0,1.0,0.0,0.37096237096237095,-1389364.635539636,0.0006608170224353774,-1401225.951064365,0.0006608170224353774
4,0.19626796447589184,0.0,1.5072192292057145,0.0,1.0,0.0,0.2594072594072594,-1396327.62223288,0.0,-1412143.4951687937,0.0
5,0.17606857816986313,0.0008518141001276069,1.6001218819501775,0.07080323380843512,0.6565158280053102,0.0,0.21062271062271062,-1396379.6176512092,28.91264135763049,-1416150.0479983082,28.91264135763049
6,0.18942542908781534,0.001650481150248781,1.5200443821349532,0.012823889907482844,0.9680630912281409,0.0,0.18564768564768563,-1396843.3133957067,30.662395772058517,-1420568.301153991,30.662395772058517
7,0.1812946129885231,0.0033796882749186075,1.4901899499333204,0.03335365042463445,0.8966064165460338,0.0,0.17582417582417584,-1394827.09591175,349.573982632719,-1422506.6410812193,349.573982632719
8,0.17376486437166427,0.0007693935906688681,1.4915900187301252,0.03496320736062297,0.8770140843333755,0.0,0.14768564768564768,-1392969.0698404391,114.23379270755686,-1424603.1724210936,114.23379270755686
9,0.1712076475860413,0.0032945933333233673,1.414861874842007,0.028256830038462355,0.93188894654904,0.0,0.14252414252414253,-1389988.7622807813,227.75942806189414,-1425577.4222726207,227.75942806189414
10,0.16483213592692592,0.00034322253130168734,1.4501992691618062,0.0031765587042170695,0.8451489811528313,0.0,0.11688311688311688,-1387156.8534231805,110.70281676435843,-1426700.0708262052,110.70281676435843
11,0.15839767970443733,0.0027380200092465834,1.4391025046012254,0.01977700826912332,0.7152910724974071,0.0,0.1088911088911089,-1383341.5317897599,312.58860671916045,-1426839.3066039698,312.58860671916045
12,0.16170478003459088,0.00020672595122021853,1.4124928308088653,0.006363633947112035,0.8713827860095685,0.0,0.1023976023976024,-1380089.6101291273,99.40873873245437,-1427541.9423545222,99.40873873245437
13,0.15203311835682448,0.000713663465505221,1.3988425397948065,0.01235136943675097,0.6319187061151352,0.0,0.0944055944055944,-1375612.04166681,7.767560058739036,-1427018.93130339,7.767560058739036
14,0.14267513218337224,0.0028764276541025785,1.433414077420903,0.049121419882523165,0.6174353828587246,0.0,0.07625707625707626,-1371414.1050416497,82.42884011566639,-1426775.5520894148,82.42884011566639
