Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.5033358443563422,0.0,0.3668247734638348,5.551115123125783e-17,1.0896434152661356,0.0,1.0,0.0
3,0.3725629686179577,1.6653345369377348e-16,0.21472949493821092,5.551115123125783e-17,1.510915710640917,2.220446049250313e-16,1.0,0.0
4,0.37348248427413866,1.6653345369377348e-16,0.2127872751371692,5.551115123125783e-17,1.3596081498684278,2.220446049250313e-16,1.0,0.0
5,0.3022955478900053,0.00012587141280523642,0.1627480886074686,0.0002546792685968984,1.56107712117228,0.002514426313747894,0.9890876622514818,0.016741313445275373
6,0.32168237345628237,0.004568035308393004,0.17292193416714569,0.0026762816729300662,1.5196195547390454,0.016192208600980692,0.9830329381716009,0.022498901255623375
7,0.2683202395274108,0.012988510815121482,0.14391846901897026,0.009895209588903978,1.7280027259949966,0.08986654247004397,0.770885884572453,0.12460029230951102
8,0.2764900538359749,0.007269144360537377,0.14750886595579682,0.004905725617938869,1.6516049563989765,0.01002075754926964,0.9159464176939608,0.05157866001057489
9,0.273613340308642,0.004301654828109029,0.15245486418960677,0.002714058593643381,1.5319713482830952,0.013701931406618151,0.916982114290611,0.051221189002775745
10,0.27900007582430525,0.016168784406998368,0.14983100857132867,0.008912808841327773,1.5013556720404042,0.012123081633956138,0.9394292937837339,0.05770632804442617
11,0.25937602941094096,0.002483195346257658,0.13724175787669496,0.0019126376167985031,1.502543969924788,0.003304680676591391,0.9890666914664792,0.01673918917130501
12,0.22613225963614728,0.006255770252329525,0.1175595661354349,0.003296204012791879,1.5849102761537919,0.010130505604831315,0.9379314962766823,0.0452751763751514
13,0.20970242115628138,0.010601853646213619,0.1073986807895254,0.00556889983878705,1.6208426121135022,0.040148231610037166,0.8525378814967078,0.06065534238015672
14,0.21122503274846685,0.01196500537278015,0.10637513990569467,0.00716170157473448,1.5518115308292533,0.026265511140912395,0.8680215285744624,0.05826023637523782
