Number of clusters,Silhouette_mean (cosine),Silhouette_std (cosine),Silhouette_mean (euclidean),Silhouette_std (euclidean),DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std
2,0.48975641553795624,0.0005691032887849706,0.3203817206893923,0.0006799702053107348,1.3606750057670696,0.002175188989643439,0.9989844565432029,0.007108804197579616
3,0.39041538297624134,5.551115123125783e-17,0.22211216141473472,2.7755575615628914e-17,1.4729430290989334,2.220446049250313e-16,1.0,0.0
4,0.36067752534306036,0.0017498672716779594,0.2013374139005718,0.0010714840276503583,1.4216275475925106,0.005378408372549711,0.997316192703399,0.00925451514939557
5,0.3129098226818072,0.0029543922795914127,0.1731846936544752,0.0024821351583307672,1.596001855483707,0.007314414488724748,0.9676876625752925,0.03231283011751332
6,0.30415137417482935,0.0024020450643747423,0.16391651334405632,0.0017351222324233269,1.605723080741503,0.009733352735027274,0.9860125956413663,0.027572197447522956
7,0.2645853180878027,0.013059750799658577,0.13732914677174246,0.009439406294839093,1.6041248771555103,0.0840073328731407,0.7452360530565942,0.12011248887222853
8,0.2895296347432997,0.009740609026268159,0.15097402085575407,0.004854630097665845,1.578300903420757,0.05807811869841485,0.7775880038250556,0.09294220920358187
9,0.286740883097029,0.007130889123732662,0.14701333681085532,0.00395937344603528,1.54991943802844,0.029551103638189944,0.9210647097354531,0.06575285668776078
10,0.2581593318074639,0.011966506974105518,0.13430052011003413,0.008043226241727116,1.5569709594282397,0.041788694178091466,0.7536821547183448,0.08970884038350076
11,0.259783444091481,0.014784185351890225,0.1322976314115596,0.00877366151297931,1.4577988332288438,0.06345619957615456,0.681615049307042,0.0934166253303696
12,0.2521852164430479,0.01847015200067229,0.12752619307393429,0.011112169803700828,1.4249151538860878,0.07665280882948489,0.6146799082762616,0.0812161090046968
13,0.24022319794943484,0.022087570462578743,0.12034338344091365,0.012615631033624317,1.4249356526855232,0.08186408375818012,0.5934569997021103,0.08899015177558978
14,0.22304859267430618,0.021118343601633126,0.11299420336541134,0.012292580267990105,1.4119186214439268,0.0868414130448653,0.5814509175961616,0.08349255155189102
