Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus,Inertia_mean,Inertia_std
2,0.3311131241902613,5.551115123125783e-17,1.3497860901356942,0.0,1.0,0.0,0.6234567901234568,0.04801905457103256,2.0816681711721685e-17
3,0.18904944249219596,5.551115123125783e-17,1.6504502770819378,4.440892098500626e-16,1.0,0.0,0.3632716049382716,0.040276102647278975,6.938893903907228e-18
4,0.18162025091349893,0.0012440860698069854,1.5830410833998299,0.0056611398789603775,0.9600891061204538,0.03352553364449409,0.2629598765432099,0.03566002894231019,1.2325339706401717e-05
5,0.1873074521739189,0.0032230947712009487,1.33863275149672,0.05731045979973963,0.8949864981048574,0.10593699690593154,0.2566327160493827,0.03249650679780955,3.1540040250894624e-05
6,0.17444431118666542,0.007266495589856471,1.4010351303358453,0.056873531070825045,0.7801290124468898,0.114573183266316,0.21503086419753087,0.030154400731900045,5.7528944406559997e-05
7,0.16381654033066617,0.01239428380375242,1.442334204860673,0.06773592181946111,0.7578123099975531,0.09818329930673876,0.18574074074074073,0.028208991364880687,0.00010088088345054633
8,0.15703022818994478,0.011482652986836737,1.4498421564786244,0.06295406518037797,0.7452015299802487,0.10280480250801098,0.16769135802469134,0.02638322220146277,0.00020440515992371764
9,0.14684329841547364,0.01014706676446552,1.4588099034200506,0.06478480440160402,0.6508546118598181,0.10863390146213756,0.149679012345679,0.025035238957611124,0.00012111530571434343
10,0.14181119424373193,0.011625810689385225,1.4555051298952537,0.07169596563477293,0.6048053707913443,0.10825255703768814,0.13473456790123456,0.02379475711636086,0.00012344707245654884
11,0.13722671988428126,0.007689397693938446,1.4835028100728764,0.06661912426499901,0.5635619465982666,0.08919542824204041,0.1150679012345679,0.022659686631256566,0.0001167995491882349
12,0.13547838095283396,0.007485904525983568,1.461775206694262,0.059380282930959545,0.5596842940005612,0.10070819530030027,0.10418827160493827,0.02164123910643524,0.0001116087263940276
13,0.1327770266790334,0.006007682548013065,1.4381167118824474,0.04824172586760821,0.5590417642953973,0.0935964823319527,0.09457716049382714,0.020725006047186335,0.00013028917419685124
14,0.1313822263669651,0.0066055141369892306,1.3959185280752968,0.06397618311963023,0.5633924348726691,0.09148040801737171,0.0895246913580247,0.019868023724748354,0.00011939869638734607
