Number of clusters,Silhouette_mean,Silhouette_std,DaviesBouldin_mean,DaviesBouldin_std,ARI_mean,ARI_std,Consensus,Inertia_mean,Inertia_std
2,0.26591519208878184,0.004153579527510842,1.5661862266350277,0.02058225361923037,0.9669039675775679,0.03197112191490122,0.646246913580247,17.383181715900907,0.004901470481816072
3,0.12468273442057813,0.0011788401027139652,2.2164820575757798,0.024672422242131207,0.782337351157099,0.1436726077442457,0.36607407407407405,15.727020700536475,0.010102523710838212
4,0.10671088362098939,0.00784002338491777,2.3232658749406836,0.1390361595446198,0.6864946962937687,0.1496189288960043,0.27146296296296296,14.840824752579547,0.05029812730852477
5,0.09392728978328012,0.007181635568019588,2.3058492215432147,0.137661571817511,0.6176890743847683,0.11627395438039927,0.23804629629629628,14.234710827459317,0.08799630949441149
6,0.08496067086159702,0.008071359447615056,2.1914312657328647,0.16045674859572667,0.5816766355713834,0.11237869022533573,0.21564814814814812,13.709729242400808,0.08814285532245722
7,0.07626840992672396,0.008956949247300613,2.145580066230128,0.16411742590242345,0.5153985107232272,0.10300407055862444,0.1950895061728395,13.274808388652893,0.10033660424070993
8,0.07210565445648172,0.009443343606730003,2.0408490996700843,0.18214956337594768,0.4931098896220084,0.09847203012806889,0.17705555555555555,12.802271623179038,0.09262516327440994
9,0.06885513536715332,0.01029345513213792,1.965751404196957,0.16875173455484768,0.4688612184604173,0.09571110800514124,0.16412345679012347,12.39500894977444,0.10863713765695611
10,0.06623736336628956,0.009923632727280187,1.8463117627543364,0.1508536381287623,0.4575212163766246,0.09748885390476408,0.15879320987654322,11.99649992234059,0.12794917491783156
11,0.062290486730128665,0.009038798248567192,1.8386381525936637,0.14926514515615505,0.4383217204061557,0.09502789857260566,0.1404382716049383,11.617612717224738,0.14212209845369528
12,0.05926949592723271,0.009923954205993867,1.8218621784041156,0.14658485838147603,0.41730468248957786,0.08569513620946212,0.12815123456790126,11.264909533269964,0.1219873618396866
13,0.05810185403828012,0.01068750652294621,1.720340439679391,0.1477348633272214,0.41359956291832056,0.09399833642046249,0.12479320987654323,10.908670016502072,0.1295762672355251
14,0.055512708201688354,0.009332690568808501,1.6951857719291399,0.1263750812665433,0.4116262932673965,0.0849109489818574,0.11397222222222221,10.556671813105853,0.1276967337437429
